ID,RecipeID,Weight,HopID,StepID
327,59,31.5,20,4
328,60,12.5,21,1
329,60,12.5,87,3
330,61,25,3,1
331,61,25,19,3
332,61,25,17,3
333,61,25,21,3
334,61,25,19,4
335,61,25,13,3
336,61,25,13,4
337,61,25,17,4
338,61,25,3,4
339,62,31.25,2,1
340,62,31.25,2,3
341,63,40,19,1
342,63,62.5,19,3
343,63,62.5,17,3
344,63,178,19,4
345,64,81.25,19,1
346,64,62.5,60,3
347,65,20,19,1
348,65,12.5,2,1
349,65,20,19,2
350,65,12.5,2,2
351,65,30,19,3
352,65,12.5,2,3
353,65,12.5,59,3
354,65,140,45,3
355,66,37.5,82,1
356,66,50,66,3
357,66,25,31,3
358,67,37.5,82,1
359,67,50,66,3
360,67,25,31,3
361,68,62.5,10,1
362,68,50,31,3
363,68,50,10,3
364,69,12.5,39,1
365,69,12.5,82,1
366,69,12.5,86,1
367,69,6.25,39,2
368,69,6.25,82,2
369,69,25,13,3
370,69,25,82,3
371,70,35,31,1
372,71,81.25,31,1
373,71,62.5,31,3
374,72,37.5,59,1
375,72,25,18,3
376,73,25,3,1
377,73,25,21,1
378,73,62.5,19,3
379,73,62.5,13,3
380,73,62.5,21,3
381,73,62.5,17,3
382,73,125,17,4
383,73,62.5,13,4
384,73,62.5,3,4
385,73,62.5,19,4
386,74,125,57,1
387,74,37.5,57,3
388,75,2.5,59,1
389,75,25,59,2
390,75,37.5,59,3
391,75,250,59,4
392,76,31.25,21,1
393,76,25,21,3
394,76,25,66,3
395,76,25,82,3
396,76,75,21,4
397,76,75,82,4
398,76,100,59,4
399,77,12.5,21,1
400,77,37.5,17,3
401,77,37.5,13,3
402,77,37.5,59,3
403,78,35.5,44,3
404,78,50,88,1
405,78,21.5,73,3
406,78,7,45,3
407,79,85,18,1
408,79,100,18,3
409,79,250,18,4
410,80,75.400000000000006,34,1
411,80,75.400000000000006,34,3
412,80,205,34,4
413,82,75,44,1
414,82,100,44,3
415,82,250,44,3
416,81,40,89,1
417,81,100,89,3
418,81,250,89,4
419,83,5,59,1
420,83,5,20,1
421,83,5,59,2
422,83,5,20,2
423,83,50,59,4
424,83,75,20,4
425,83,62.5,43,4
426,84,18.75,59,1
427,84,18.75,59,2
428,84,37.5,59,3
429,84,175,59,4
430,84,37.5,13,4
431,84,37.5,43,4
432,85,6.25,45,1
433,85,12.5,17,1
434,85,12.5,45,3
435,85,12.5,3,3
436,85,12.5,17,3
437,85,12.5,45,4
438,85,12.5,3,4
439,85,12.5,17,4
440,86,50,19,1
441,86,25,13,1
442,86,25,33,2
443,86,25,33,3
444,87,10,3,1
445,87,15,59,1
446,87,25,3,3
447,87,20,20,3
448,88,25,17,1
449,88,30,21,1
450,88,18.75,17,2
451,88,18.75,21,2
452,88,50,17,3
453,88,25,21,3
454,88,100,3,4
455,88,100,20,4
456,88,100,59,4
457,89,37.5,44,1
458,89,18.75,44,3
459,90,125,31,1
460,90,62.5,18,3
461,90,125,3,3
462,91,12.5,39,1
463,91,31.25,90,1
464,91,12.5,39,2
465,91,12.5,90,3
466,91,25,17,3
467,91,25,3,3
468,91,25,17,4
469,91,25,3,4
470,91,37.5,90,4
471,92,50,44,1
472,92,31.25,44,3
473,92,250,44,4
474,94,37.5,21,1
475,94,50,21,2
476,94,62.5,57,3
477,94,37.5,21,3
478,95,25,21,1
479,95,25,17,1
480,95,12.5,21,3
481,95,12.5,17,3
482,95,25,45,3
483,95,37.5,10,3
484,95,71.430000000000007,21,4
485,95,71.430000000000007,17,4
486,95,71.430000000000007,45,4
487,96,50,19,1
488,96,62.5,3,2
489,96,62.5,19,3
490,96,107.14,3,4
491,96,142.86000000000001,19,4
492,97,2.5,59,1
493,97,25,59,2
494,97,37.5,59,3
495,97,187.5,59,4
496,98,62.5,39,1
497,98,3125,66,3
498,98,31.25,31,3
499,103,12.5,17,1
500,103,6.25,59,2
501,103,7.5,13,2
502,103,7.5,3,2
503,103,6.25,59,3
504,103,7.5,13,3
505,103,7.5,3,3
506,103,25,59,4
507,103,25,13,4
508,103,25,17,4
509,103,25,3,4
510,115,2.5,92,1
511,115,2.5,3,2
512,115,2.5,45,2
513,115,2.5,44,2
514,115,6,59,3
515,115,6,20,3
516,115,6,92,3
517,124,8.5,39,1
518,129,18.5,31,1
519,129,12.5,66,1
520,129,6,36,1
521,130,5,17,1
522,130,5,3,1
523,130,10,17,2
524,130,10,3,2
525,130,17.5,17,3
526,130,17.5,3,3
527,131,5,17,1
528,131,5,3,1
529,131,10,17,2
530,131,10,3,2
531,131,17.5,17,3
532,131,17.5,3,3
533,132,5,17,1
534,132,5,3,1
535,132,10,17,2
536,132,10,3,2
537,132,17.5,17,3
538,132,17.5,3,3
539,135,12.5,91,1
540,135,12.5,10,2
541,135,12.5,18,2
542,136,2.5,17,1
543,136,2.5,3,1
544,136,12.5,17,2
545,136,12.5,3,2
546,136,25,17,3
547,136,150,3,4
548,136,125,17,4
549,137,25,39,1
550,137,12.5,66,2
551,137,12.5,3,2
552,137,25,66,3
553,137,25,3,3
554,137,125,3,4
