"ID","YeastID","YeastSubID","IsWetDry","IsManuSub","IsSameManu"
"381","29","46","N","Y","N"
"382","29","109","N","N","Y"
"383","46","10","N","Y","N"
"384","46","29","N","Y","N"
"385","46","109","N","Y","N"
"386","109","46","N","Y","N"
"387","109","29","N","N","Y"
"388","33","89","Y","N","N"
"389","33","110","Y","N","N"
"390","89","33","Y","N","N"
"391","89","110","N","Y","N"
"392","110","89","N","Y","N"
"393","110","33","Y","N","N"
"394","34","58","Y","N","N"
"395","34","84","Y","N","N"
"396","88","89","N","N","Y"
"397","88","110","N","Y","N"
"398","58","34","Y","N","N"
"399","58","84","N","Y","N"
"400","84","34","Y","N","N"
"401","84","58","N","Y","N"
"402","5","23","N","Y","N"
"403","5","65","Y","N","N"
"404","36","83","Y","N","N"
"405","36","82","Y","N","N"
"406","36","59","Y","N","N"
"407","59","36","Y","N","N"
"408","59","82","N","Y","N"
"409","59","83","N","Y","N"
"410","82","36","Y","N","N"
"411","82","59","N","Y","N"
"412","82","83","N","N","Y"
"413","83","36","Y","N","N"
"414","83","59","N","Y","N"
"415","83","36","Y","N","N"
"416","38","60","Y","N","N"
"417","38","77","Y","N","N"
"418","38","99","Y","N","N"
"419","38","4","N","Y","N"
"420","38","64","Y","N","N"
"421","38","13","N","Y","N"
"422","38","18","N","Y","N"
"423","38","24","N","Y","N"
"424","38","54","Y","N","N"
"425","38","74","Y","N","N"
"426","38","93","Y","N","N"
"427","38","97","Y","N","N"
"428","38","100","Y","N","N"
"429","4","38","N","Y","N"
"430","13","38","N","Y","N"
"431","18","38","N","Y","N"
"432","24","38","N","Y","N"
"433","54","38","Y","N","N"
"434","60","38","Y","N","N"
"435","64","38","Y","N","N"
"436","74","38","Y","N","N"
"437","93","38","Y","N","N"
"438","77","38","Y","N","N"
"439","97","38","Y","N","N"
"440","99","38","Y","N","N"
"441","100","38","Y","N","N"
"442","40","73","Y","N","N"
"443","40","72","Y","N","N"
"444","40","94","Y","N","N"
"445","40","95","Y","N","N"
"446","40","112","Y","N","N"
"447","40","11","N","Y","N"
"448","11","40","N","Y","N"
"449","11","72","Y","N","N"
"450","11","73","Y","N","N"
"451","6","11","N","Y","N"
"452","6","40","N","Y","N"
"453","6","72","Y","N","N"
"454","6","73","Y","N","N"
"455","6","112","Y","N","N"
"456","11","112","Y","N","N"
"457","40","6","N","Y","N"
"458","56","40","Y","N","N"
"459","40","76","Y","N","N"
"460","6","94","Y","N","N"
"461","6","95","Y","N","N"
"462","11","94","Y","N","N"
"463","11","95","Y","N","N"
"464","56","72","N","N","Y"
"465","56","73","N","N","Y"
"466","56","95","N","Y","N"
"467","56","112","N","N","Y"
"468","72","6","Y","N","N"
"469","72","40","Y","N","N"
"470","72","56","N","N","Y"
"471","72","76","N","Y","N"
"472","72","73","N","N","Y"
"473","76","112","N","Y","N"
"474","73","6","Y","N","N"
"475","73","11","Y","N","N"
"476","73","40","Y","N","N"
"477","73","56","N","N","Y"
"478","73","72","N","N","Y"
"479","73","95","N","Y","N"
"480","73","76","N","Y","N"
"481","73","112","N","N","Y"
"482","76","40","Y","N","N"
"483","76","72","N","Y","N"
"484","76","73","N","Y","N"
"485","76","95","N","N","Y"
"486","95","6","Y","N","N"
"487","95","40","Y","N","N"
"488","95","56","N","Y","N"
"489","95","73","N","Y","N"
"490","95","112","N","Y","N"
"491","112","6","Y","N","N"
"492","112","11","Y","N","N"
"493","112","40","Y","N","N"
"494","112","56","N","N","Y"
"495","112","72","N","N","Y"
"496","112","73","N","N","Y"
"497","112","76","N","Y","N"
"498","112","95","N","Y","N"
"499","56","94","N","Y","N"
"500","72","94","N","Y","N"
"501","73","94","N","Y","N"
"502","76","94","N","N","Y"
"503","95","94","N","N","Y"
"504","94","6","Y","N","N"
"505","94","11","Y","N","N"
"506","94","40","Y","N","N"
"507","94","56","N","Y","N"
"508","94","72","N","Y","N"
"509","94","73","N","Y","N"
"510","94","76","N","N","Y"
"511","94","95","N","N","Y"
"512","94","112","N","Y","N"
"513","42","106","Y","N","N"
"514","106","42","Y","N","N"
"515","33","88","Y","N","N"
"516","89","88","N","N","Y"
"517","110","88","N","Y","N"
"518","33","71","Y","N","N"
