ID,Name,BeerStylesID,Number,Source2,YeastID,ABV,IBU,OG,FG,EBC,HasAdjucts,MashTemp,MashTime,Fermentation,Description,Tips
1,Punk IPA 2007,68,1,DiyDog,55,6,60,1056,1010,17,N,65,75,19,"Our flagship beer that kick started
the craft beer revolution. This is
James and Martin's original take on
an American IPA, subverted with
punchy New Zealand hops.
Layered with new world hops to
create an all-out riot of grapefruit,
pineapple and lychee before a spiky,
mouth-puckering bitter finish.","While it may surprise you, this version of
Punk IPA isn't dry hopped but still packs
a punch! To make the best of the aroma
hops make sure they are fully submerged
and add them just before knock out for an
intense hop hit."
2,Punk IPA 2010,68,2,DiyDog,55,5.6,40,1053,1011,15,N,66,75,19,"Punk IPA. Amplified. In 2010
we finally got our paws on the
equipment we needed to dry hop
our beers. We focused all our energy
on dry hopping, amping up the
aroma and flavour of our flagship
beer to create a relentless explosion
of tropical fruits, and adding a hint
of Caramalt to balance out the
insane amount of hops.","To get the best possible profile from the
dry hops we recommend dry hopping post
fermentation for 5 days. Dry hops should
be added at cellar temperature. We find
104,AB:14,33,106,DiyDog,56,10,30,1094,1016,20,Y,65,120,23,NULL,NULL
105,Dana,68,107,DiyDog,55,6.7,70,1066,1015,30,N,65,75,19,NULL,NULL
106,El Dorado,68,108,DiyDog,55,6.7,70,1066,1015,30,N,65,75,19,NULL,NULL
107,Goldings,68,109,DiyDog,55,6.7,70,1066,1015,30,N,65,75,19,NULL,NULL
108,Waimea,68,110,DiyDog,55,6.7,70,1066,1015,30,N,65,75,19,NULL,NULL
109,Vagabond Pilsner,18,111,DiyDog,49,4.5,55,1046,1012,25,N,65,75,9,NULL,NULL
111,AB:15,76,112,DiyDog,61,12.8,50,1096,1020,111,Y,68,75,21,NULL,NULL
112,BRACKEN'S PORTER,65,113,DiyDog,55,5,50,1049,1010,110,N,65,75,19,NULL,NULL
113,FAKE LAGER,18,114,DiyDog,49,4.7,40,1046,1010,12,N,65,75,10,NULL,NULL
114,10 HEADS HIGH,76,115,DiyDog,61,7.8,70,1074,1015,90,N,65,75,18,NULL,NULL
115,VICE BIER,31,116,DiyDog,56,4.3,25,1043,1010,30,N,65,75,22,NULL,NULL
116,MISSPENT YOUTH,44,117,DiyDog,55,7.3,30,1079,1020,120,Y,67,75,19,NULL,NULL
117,#MASHTAG 2013,64,118,DiyDog,61,7.5,50,1070,1013,40,Y,65,90,21,NULL,NULL
118,DOG B,66,119,DiyDog,55,15,90,1120,1003,100,Y,65,90,19,NULL,NULL
119,ELECTRIC INDIA,89,120,DiyDog,52,5.2,38,1045,1005,15,Y,65,75,22,NULL,NULL
120,DOG WIRED (W/8 WIRED),18,121,DiyDog,49,7.1,65,1065,1010,13,N,64,90,9,NULL,NULL
121,HELLO MY NAME IS METTE-MARIT,75,122,DiyDog,55,8.2,70,1076,1013,0,Y,66,90,19,NULL,NULL
122,EVERYDAY ANARCHY,44,123,DiyDog,52,10.5,45,1081,1005,15,Y,65,75,23,NULL,NULL
123,BLACK JACQUES,44,124,DiyDog,52,11.1,45,1089,1005,15,Y,65,90,23,NULL,NULL
124,BLITZ BERLINER WEISSE,104,125,DiyDog,55,3,8,1040,1007,9,N,65,60,19,NULL,NULL
125,DOGMA,44,126,DiyDog,49,7.5,30,1080,1025,46,Y,65,75,12,NULL,NULL
126,HELLO MY NAME IS SONJA (W/EVIL TWIN),75,127,DiyDog,61,8.3,70,1076,1013,30,Y,65,75,21,NULL,NULL
127,SHIPWRECKER CIRCUS (W/OSKAR BLUES),77,128,DiyDog,61,10.5,85,1102,1022,64,N,65,75,21,NULL,NULL
128,DEAD METAPHOR,66,129,DiyDog,55,6.8,30,1068,1016,86,Y,64,75,19,NULL,NULL
129,BABY DOGMA,43,130,DiyDog,55,4.5,35,1048,1013,40,N,66,75,19,NULL,NULL
130,UNLEASH THE YEAST – AMERICAN ALE,61,131,DiyDog,61,6.3,55,1060,1012,30,N,65,75,19,NULL,NULL
131,UNLEASH THE YEAST – BAVARIAN WEIZEN,31,132,DiyDog,76,6.3,55,1060,1012,30,N,65,75,22,NULL,NULL
132,UNLEASH THE YEAST – BELGIAN TRAPPIST,91,133,DiyDog,77,6.3,55,1060,1012,30,N,65,75,25,NULL,NULL
133,UNLEASH THE YEAST – PILSEN LAGER,18,134,DiyDog,49,6.3,55,1060,1012,30,N,65,75,9,NULL,NULL
134,VIC SECRET,68,135,DiyDog,55,7.4,70,1069,1012,30,N,65,75,19,NULL,NULL
135,BRIXTON PORTER,42,136,DiyDog,55,5,50,1053,1014,200,N,65,75,19,NULL,NULL
136,PROTOTYPE CHALLENGE – HOBO POP,73,137,DiyDog,55,4.2,50,1042,1010,30,N,65,75,19,NULL,NULL
137,PROTOTYPE CHALLENGE – INTERSTELLAR,73,138,DiyDog,55,6.5,55,1059,1011,50,N,65,75,19,NULL,NULL
138,PROTOTYPE CHALLENGE – MOSHI MOSHI 15,61,139,DiyDog,55,5.2,45,1048,1011,35,N,65,75,19,NULL,NULL
139,BLACK EYE JOE (W/STONE BREWING CO),70,140,DiyDog,55,5.8,40,1053,1008,177,Y,65,75,19,NULL,NULL
140,LUMBERJACK STOUT,66,141,DiyDog,61,15.2,20,1110,1020,158,Y,65,105,21,NULL,NULL
141,CLOWN KING,77,142,DiyDog,61,12,85,1130,1020,24,N,65,90,21,NULL,NULL
142,HELLO MY NAME IS VLADIMIR,75,143,DiyDog,55,8.2,70,1076,1013,16,Y,65,75,21,NULL,NULL
143,BOURBON BABY,44,144,DiyDog,55,5.8,35,1049,1005,22,N,65,90,19,NULL,NULL
144,AB:16,48,145,DiyDog,75,10.6,55,1090,1012,30,Y,65,75,21,NULL,NULL
145,COMET,68,146,DiyDog,55,7.2,70,1067,1012,30,N,65,75,19,NULL,NULL
146,HBC 366,68,147,DiyDog,55,7.2,70,1067,1012,30,N,65,75,19,NULL,NULL
147,KOHATU,68,148,DiyDog,55,7.2,70,1067,1012,30,N,65,75,19,NULL,NULL
148,HELLO MY NAME IS ZÉ (W/2CABEÇAS),68,149,DiyDog,55,6.4,50,1061,1012,20,Y,65,75,19,NULL,NULL
149,ALPHA POP,73,150,DiyDog,55,4.5,30,1045,1011,25,N,65,75,19,NULL,NULL
150,JASMINE IPA,68,151,DiyDog,55,5.8,40,1060,1014,35,Y,65,75,19,NULL,NULL
