ID,RecipeID,Weight,HopID,StepID,HopTypeID
243,27,25,59,4,1
244,27,50,13,4,1
245,27,25,2,4,1
246,27,12.5,45,4,1
247,27,50,17,4,1
248,27,25,3,4,1
249,26,75,17,1,1
250,26,25,17,2,1
251,26,25,21,2,1
252,26,18.8,17,3,1
253,26,18.8,21,3,1
254,26,18.8,82,3,1
255,26,18.8,59,3,1
256,25,146,31,1,1
257,25,47,24,2,1
258,25,46,33,2,1
259,25,62.5,10,3,1
260,25,104,24,4,1
261,24,37.5,36,1,1
262,24,25,36,2,1
263,24,37.5,78,2,1
264,24,25,57,3,1
265,23,100,45,1,1
266,23,100,45,3,1
267,22,25,19,1,1
268,22,25,82,1,1
269,22,25,82,3,1
270,22,25,31,3,1
271,21,31,21,1,1
272,21,19.5,21,1,1
273,21,19.5,21,2,1
274,21,19.5,17,2,1
275,21,19.5,59,2,1
276,21,19.5,21,3,1
277,21,19.5,17,3,1
278,21,19.5,59,3,1
279,21,115.5,17,4,1
280,21,96,21,4,1
281,21,96,59,4,1
282,21,77,3,4,1
283,20,12.5,45,1,1
284,20,25,45,2,1
285,20,50,45,3,1
286,19,18.75,31,1,1
287,19,25,31,3,1
288,19,16.25,60,3,1
289,18,27.2,13,1,1
290,18,27.2,13,3,1
292,50,125,33,1,1
293,50,37.5,33,3,1
294,51,37.5,21,1,1
295,51,37.5,21,2,1
296,51,18.5,31,2,1
297,51,12.5,44,2,1
298,51,18.5,31,3,1
299,51,12.5,87,2,1
300,51,12.5,44,3,1
301,51,12.5,87,3,1
302,52,50,31,1,1
303,52,50,31,3,1
304,53,25,21,1,1
305,53,25,17,1,1
306,53,12.5,21,3,1
307,53,12.5,17,3,1
308,53,25,45,3,1
309,53,37.5,10,3,1
310,53,71.5,45,4,1
311,53,71.5,10,4,1
312,53,71.5,59,4,1
313,54,60,10,1,1
314,54,50,10,3,1
315,55,2.5,20,1,1
316,55,10,20,2,1
317,55,37.5,20,3,1
318,56,37.5,45,1,1
319,56,50,45,3,1
320,57,14.5,60,1,1
321,57,20,60,3,1
322,58,60,57,1,1
323,58,60,57,2,1
324,58,60,57,3,1
325,59,8.5,20,1,1
326,59,62.5,20,3,1
327,59,31.5,20,4,1
328,60,12.5,21,1,1
329,60,12.5,87,3,1
330,61,25,3,1,1
331,61,25,19,3,1
332,61,25,17,3,1
333,61,25,21,3,1
334,61,25,19,4,1
335,61,25,13,3,1
336,61,25,13,4,1
337,61,25,17,4,1
338,61,25,3,4,1
339,62,31.25,2,1,1
340,62,31.25,2,3,1
341,63,40,19,1,1
342,63,62.5,19,3,1
343,63,62.5,17,3,1
344,63,178,19,4,1
345,64,81.25,19,1,1
346,64,62.5,60,3,1
347,65,20,19,1,1
348,65,12.5,2,1,1
349,65,20,19,2,1
350,65,12.5,2,2,1
351,65,30,19,3,1
352,65,12.5,2,3,1
353,65,12.5,59,3,1
354,65,140,45,3,1
355,66,37.5,82,1,1
356,66,50,66,3,1
357,66,25,31,3,1
358,67,37.5,82,1,1
359,67,50,66,3,1
360,67,25,31,3,1
361,68,62.5,10,1,1
362,68,50,31,3,1
363,68,50,10,3,1
364,69,12.5,39,1,1
365,69,12.5,82,1,1
366,69,12.5,86,1,1
367,69,6.25,39,2,1
368,69,6.25,82,2,1
369,69,25,13,3,1
370,69,25,82,3,1
371,70,35,31,1,1
372,71,81.25,31,1,1
373,71,62.5,31,3,1
374,72,37.5,59,1,1
375,72,25,18,3,1
376,73,25,3,1,1
377,73,25,21,1,1
378,73,62.5,19,3,1
379,73,62.5,13,3,1
380,73,62.5,21,3,1
381,73,62.5,17,3,1
382,73,125,17,4,1
383,73,62.5,13,4,1
384,73,62.5,3,4,1
385,73,62.5,19,4,1
386,74,125,57,1,1
387,74,37.5,57,3,1
388,75,2.5,59,1,1
389,75,25,59,2,1
390,75,37.5,59,3,1
391,75,250,59,4,1
392,76,31.25,21,1,1
393,76,25,21,3,1
394,76,25,66,3,1
395,76,25,82,3,1
396,76,75,21,4,1
397,76,75,82,4,1
398,76,100,59,4,1
399,77,12.5,21,1,1
400,77,37.5,17,3,1
401,77,37.5,13,3,1
402,77,37.5,59,3,1
403,78,35.5,44,3,1
404,78,50,88,1,1
405,78,21.5,73,3,1
406,78,7,45,3,1
407,79,85,18,1,1
408,79,100,18,3,1
409,79,250,18,4,1
410,80,75.4,34,1,1
411,80,75.4,34,3,1
412,80,205,34,4,1
413,82,75,44,1,1
414,82,100,44,3,1
415,82,250,44,3,1
416,81,40,89,1,1
417,81,100,89,3,1
418,81,250,89,4,1
419,83,5,59,1,1
420,83,5,20,1,1
421,83,5,59,2,1
422,83,5,20,2,1
423,83,50,59,4,1
424,83,75,20,4,1
425,83,62.5,43,4,1
426,84,18.75,59,1,1
427,84,18.75,59,2,1
428,84,37.5,59,3,1
429,84,175,59,4,1
430,84,37.5,13,4,1
431,84,37.5,43,4,1
432,85,6.25,45,1,1
433,85,12.5,17,1,1
434,85,12.5,45,3,1
435,85,12.5,3,3,1
436,85,12.5,17,3,1
437,85,12.5,45,4,1
438,85,12.5,3,4,1
439,85,12.5,17,4,1
440,86,50,19,1,1
441,86,25,13,1,1
442,86,25,33,2,1
443,86,25,33,3,1
444,87,10,3,1,1
445,87,15,59,1,1
446,87,25,3,3,1
447,87,20,20,3,1
448,88,25,17,1,1
449,88,30,21,1,1
450,88,18.75,17,2,1
451,88,18.75,21,2,1
452,88,50,17,3,1
453,88,25,21,3,1
454,88,100,3,4,1
455,88,100,20,4,1
456,88,100,59,4,1
457,89,37.5,44,1,1
458,89,18.75,44,3,1
459,90,125,31,1,1
460,90,62.5,18,3,1
461,90,125,3,3,1
462,91,12.5,39,1,1
463,91,31.25,90,1,1
464,91,12.5,39,2,1
465,91,12.5,90,3,1
466,91,25,17,3,1
467,91,25,3,3,1
468,91,25,17,4,1
469,91,25,3,4,1
470,91,37.5,90,4,1
471,92,50,44,1,1
472,92,31.25,44,3,1
473,92,250,44,4,1
474,94,37.5,21,1,1
475,94,50,21,2,1
476,94,62.5,57,3,1
477,94,37.5,21,3,1
478,95,25,21,1,1
479,95,25,17,1,1
480,95,12.5,21,3,1
481,95,12.5,17,3,1
482,95,25,45,3,1
483,95,37.5,10,3,1
484,95,71.43,21,4,1
485,95,71.43,17,4,1
486,95,71.43,45,4,1
487,96,50,19,1,1
488,96,62.5,3,2,1
489,96,62.5,19,3,1
490,96,107.14,3,4,1
491,96,142.86,19,4,1
492,97,2.5,59,1,1
493,97,25,59,2,1
494,97,37.5,59,3,1
495,97,187.5,59,4,1
496,98,62.5,39,1,1
497,98,3125,66,3,1
498,98,31.25,31,3,1
499,103,12.5,17,1,1
500,103,6.25,59,2,1
501,103,7.5,13,2,1
502,103,7.5,3,2,1
503,103,6.25,59,3,1
504,103,7.5,13,3,1
505,103,7.5,3,3,1
506,103,25,59,4,1
507,103,25,13,4,1
508,103,25,17,4,1
509,103,25,3,4,1
510,115,2.5,92,1,1
511,115,2.5,3,2,1
512,115,2.5,45,2,1
513,115,2.5,44,2,1
514,115,6,59,3,1
515,115,6,20,3,1
516,115,6,92,3,1
517,124,8.5,39,1,1
518,129,18.5,31,1,1
519,129,12.5,66,1,1
520,129,6,36,1,1
521,130,5,17,1,1
522,130,5,3,1,1
523,130,10,17,2,1
524,130,10,3,2,1
525,130,17.5,17,3,1
526,130,17.5,3,3,1
527,131,5,17,1,1
528,131,5,3,1,1
529,131,10,17,2,1
530,131,10,3,2,1
531,131,17.5,17,3,1
